31-03-2023 01:01:37MONEY FED:		$5	5.00
03-31-2023 01:16:46 MONEY FED:		$5.00	$5.00
03-31-2023 01:16:57 Caramel Bar 		C1 $5.00 $2.75
03-31-2023 01:22:35 PM MONEY FED:		$10.00	$10.00
03-31-2023 01:23:23 PM MONEY FED:		$5.00	$5.00
03-31-2023 01:23:30 PM Teaberry 	D1 $5.00 $3.35
03-31-2023 01:31:43 PM MONEY FED:		$1.00	$1.00
03-31-2023 01:31:45 PM MONEY FED:		$1.00	$2.00
03-31-2023 01:31:46 PM MONEY FED:		$1.00	$3.00
03-31-2023 01:32:15 PM Popcorn  	C4 $3.00 $1.25
03-31-2023 01:32:21 PM CHANGE GIVEN:		$1.25	$0.00
03-31-2023 01:40:07 PM MONEY FED:		$10.00	$10.00
03-31-2023 01:40:20 PM Chiclets  	D4 $10.00 $8.65
03-31-2023 01:40:35 PM Chiclets  	D4 $8.65 $8.30
03-31-2023 01:40:48 PM Chiclets  	D4 $8.30 $6.95
03-31-2023 01:40:56 PM Chiclets  	D4 $6.95 $6.60
03-31-2023 01:41:00 PM CHANGE GIVEN:	$6.60	$0.00
03-31-2023 01:46:49 PM U-Chews  	A1 $5 $3.35
03-31-2023 02:17:21 PM U-Chews  	A1 $5 $3.35
03-31-2023 02:17:34 PM MONEY FED:		$5.00	$5.00
03-31-2023 02:17:51 PM Singlemint Gum  	D3 $5.00 $2.65
03-31-2023 02:20:38 PM MONEY FED:		$5	$5.00
03-31-2023 02:20:57 PM Snykkers  	A3 $5.00 $0.75
03-31-2023 02:24:54 PM MONEY FED:		$10.00	$10.00
03-31-2023 02:25:03 PM 7Down  	C2 $10.00 $6.75
03-31-2023 02:55:06 PM U-Chews  	A1 $5.00 $3.35
